Codesys Binary,Program Language,Basic,Network,Building,FuncLabels
WORD_OF_BYTE.app,Structured Text,1,0,0,Logic_Mods
WORD_OF_DWORD.app,Structured Text,1,0,0,Logic_Mods
WORD_TO_RANGE.app,Structured Text,1,0,0,Signal_Proc
WORK_WEEK.app,Structured Text,1,0,0,Time_and_Date
YEAR_BEGIN.app,Structured Text,1,0,0,Time_and_Date
YEAR_END.app,Structured Text,1,0,0,Time_and_Date
YEAR_OF_DATE.app,Structured Text,1,0,0,Time_and_Date
_ARRAY_ABS.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_ARRAY_ADD.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_ARRAY_INIT.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_ARRAY_MUL.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_ARRAY_SHUFFLE.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_ARRAY_SORT.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_RMP_B.app,Structured Text,1,0,0,Signal_Gen
_RMP_NEXT.app,Structured Text,1,0,0,Signal_Gen
_RMP_W.app,Structured Text,1,0,0,Signal_Gen
BIN_TO_BYTE.app,Structured Text,1,0,0,Logic_Mods
BIN_TO_DWORD.app,Structured Text,1,0,0,Logic_Mods
BUFFER_SEARCH.app,Structured Text,1,0,0,Array_Buffer_Mem_List
BUFFER_TO_STRING.app,Structured Text,1,0,0,Array_Buffer_Mem_List
CALENDAR.app,Structured Text,1,0,0,Time_and_Date
CAPITALIZE.app,Structured Text,1,0,0,Str_Func
CHARNAME.app,Structured Text,1,0,0,Str_Func
CHK_REAL.app,Structured Text,1,0,0,Logic_Mods
CODE.app,Structured Text,1,0,0,Str_Func
COMPLEX.app,Structured Text,1,0,0,NA
CONSTANTS_LANGUAGE.app,Structured Text,1,0,0,Str_Func
CONSTANTS_LOCATION.app,Structured Text,1,0,0,Str_Func
CONSTANTS_MATH.app,Structured Text,1,0,0,Str_Func
CONSTANTS_PHYS.app,Structured Text,1,0,0,Str_Func
CONSTANTS_SETUP.app,Structured Text,1,0,0,Str_Func
COUNT_CHAR.app,Structured Text,1,0,0,Str_Func
DEC_TO_BYTE.app,Structured Text,1,0,0,Logic_Mods
DEC_TO_DWORD.app,Structured Text,1,0,0,Logic_Mods
DEC_TO_INT.app,Structured Text,1,0,0,Logic_Mods
DW_TO_REAL.app,Structured Text,1,0,0,Logic_Mods
ESR_DATA.app,Structured Text,1,0,0,Logic_Mods
ESR_MON_R4.app,Structured Text,1,0,0,Logic_Mods
EXEC.app,Structured Text,1,0,0,Logic_Mods
FINDB_NONUM.app,Structured Text,1,0,0,Str_Func
FINDB_NUM.app,Structured Text,1,0,0,Str_Func
FIND_CHAR.app,Structured Text,1,0,0,Str_Func
FIND_CTRL.app,Structured Text,1,0,0,Str_Func
FIND_NONUM.app,Structured Text,1,0,0,Str_Func
FIND_NUM.app,Structured Text,1,0,0,Str_Func
FLOAT_TO_REAL.app,Structured Text,1,0,0,Logic_Mods
FRACTION.app,Structured Text,1,0,0,Mathematics
FSTRING_TO_BYTE.app,Structured Text,1,0,0,Logic_Mods
FSTRING_TO_DT.app,Structured Text,1,0,0,Logic_Mods
FSTRING_TO_DWORD.app,Structured Text,1,0,0,Logic_Mods
FSTRING_TO_MONTH.app,Structured Text,1,0,0,Time_and_Date
FSTRING_TO_WEEK.app,Structured Text,1,0,0,Time_and_Date
FSTRING_TO_WEEKDAY.app,Structured Text,1,0,0,Time_and_Date
IS_ALNUM.app,Structured Text,1,0,0,Logic_Mods
IS_ALPHA.app,Structured Text,1,0,0,Logic_Mods
IS_CTRL.app,Structured Text,1,0,0,Logic_Mods
IS_HEX.app,Structured Text,1,0,0,Logic_Mods
IS_LOWER.app,Structured Text,1,0,0,Logic_Mods
IS_NUM.app,Structured Text,1,0,0,Logic_Mods
IS_UPPER.app,Structured Text,1,0,0,Str_Func
LIST_CLEAN.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LIST_GET.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LIST_INSERT.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LIST_LEN.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LIST_NEXT.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LIST_RETRIEVE.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LIST_RETRIEVE_LAST.app,Structured Text,1,0,0,Array_Buffer_Mem_List
LOWERCASE.app,Structured Text,1,0,0,Str_Func
OCT_TO_BYTE.app,Structured Text,1,0,0,Logic_Mods
OCT_TO_DWORD.app,Structured Text,1,0,0,Logic_Mods
OVERRIDE.app,Structured Text,1,0,0,Logic_Mods
PIN_CODE.app,Structured Text,1,0,0,Logic_Mods
REAL2.app,Structured Text,1,0,0,Logic_Mods
REAL_TO_DW.app,Structured Text,1,0,0,Logic_Mods
REPLACE_UML.app,Structured Text,1,0,0,Logic_Mods
SDT.app,Structured Text,1,0,0,Logic_Mods
TIMER_EVENT.app,Structured Text,1,0,0,Time_and_Date
TRIME.app,Structured Text,1,0,0,Logic_Mods
UPPERCASE.app,Structured Text,1,0,0,Str_Func
VECTOR_3.app,Structured Text,1,0,0,Vector_Math
_ARRAY_MEDIAN.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_BUFFER_CLEAR.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_BUFFER_INIT.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_BUFFER_INSERT.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_BUFFER_UPPERCASE.app,Structured Text,1,0,0,Array_Buffer_Mem_List
_STRING_TO_BUFFER.app,Structured Text,1,0,0,Str_Func
HEX_TO_BYTE.app,Structured Text,1,0,0,Logic_Mods
HEX_TO_DWORD.app,Structured Text,1,0,0,Logic_Mods
HOLIDAY.app,Structured Text,1,0,0,Logic_Mods
DT_TO_STRF.app,Structured Text,1,0,0,Time_and_Date
